timestamp,value
1534027800,175
1534028100,168
1534028400,179
1534028700,205
1534029000,218
1534029300,240
1534029600,224
1534029900,280
1534030200,310
1534030500,305
1534030800,259
1534031100,279
1534031400,375
1534031700,324
1534032000,378
1534032300,335
1534032600,344
1534032900,343
1534033200,353
1534033500,361
1534033800,335
1534034100,422
1534034400,392
1534034700,408
1534035000,414
1534035300,420
1534035600,472
1534035900,422
1534036200,466
1534036500,462
1534036800,467
1534037100,452
1534037400,441
1534037400,441
1534037700,502
1534038000,573
1534038300,533
1534038600,501
1534038900,537
1534039200,484
1534039500,486
1534039800,541
1534040100,549
1534040400,522
1534040700,577
1534041000,493
1534041300,522
1534041600,510
1534041900,522
1534042200,526
1534042500,492
1534042800,540
1534043100,541
1534043400,556
1534043700,535
1534044000,593
1534044300,576
1534044600,530
1534044900,582
1534045200,641
1534045500,580
1534045800,517
1534046100,632
1534046400,591
1534046700,620
1534047000,617
1534047300,571
1534047600,602
1534047900,609
1534048200,602
1534048500,570
1534048800,555
1534049100,642
1534049400,626
1534049700,574
1534050000,562
1534050300,613
1534050600,566
1534050900,566
1534051200,573
1534051500,606
1534051800,547
1534052100,502
1534052400,637
1534052700,522
1534053000,557
1534053300,603
1534053600,563
1534053900,596
1534054200,611
1534054500,555
1534054800,569
1534055100,604
1534055400,577
1534055700,570
1534056000,561
1534056300,556
1534056600,615
1534056900,525
1534057200,496
1534057500,637
1534057800,558
1534058100,581
1534058400,530
1534058700,585
1534059000,512
1534059300,584
1534059600,609
1534059900,570
1534060200,588
1534060500,611
1534060800,595
1534061100,674
1534061400,633
1534061700,551
1534062000,547
1534062300,634
1534062600,579
1534062900,612
1534063200,663
1534063500,564
1534063800,573
1534064100,612
1534064400,669
1534064700,727
1534065000,595
1534065300,710
1534065600,703
1534065900,661
1534066200,651
1534066500,695
1534066800,683
1534067100,673
1534067400,686
1534067700,686
1534068000,744
1534068300,690
1534068600,713
1534068900,712
1534069200,736
1534069500,674
1534069800,687
1534070100,670
1534070400,736
1534070700,748
1534071000,741
1534071300,758
1534071600,737
1534071900,800
1534072200,845
1534072500,968
1534072800,826
1534073100,868
1534073400,958
1534073700,821
1534074000,879
1534074300,906
1534074600,977
1534074900,960
1534075200,1047
1534075500,971
1534075800,1018
1534076100,987
1534076400,956
1534076700,953
1534077000,896
1534077300,986
1534077600,1009
1534077900,1029
1534078200,1020
1534078500,1009
1534078800,988
1534079100,976
1534079400,1006
1534079700,967
1534080000,1121
1534080300,991
